"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2215000;"Powiat wejherowski";"3 kwartał";"ogółem";"ogółem";"2023";39932,4;"m2";"";
2215000;"Powiat wejherowski";"3 kwartał";"ogółem";"ogółem";"2024";28726,0;"m2";"";
2215000;"Powiat wejherowski";"3 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2010";20872,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2011";15206,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2012";17011,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2013";19430,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2014";17291,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2015";17814,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2016";19299,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2017";19429,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2018";22335,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2019";30792,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2020";38287,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2021";34577,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2022";40156,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2023";58307,3;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2024";40519,0;"m2";"";
2215000;"Powiat wejherowski";"4 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2010";775,2;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2011";529,2;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2012";797,9;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2013";534,3;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2014";653,6;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2015";1040,0;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2016";1384,8;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2017";1199,0;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2018";1885,3;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2019";993,1;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2020";971,9;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2021";973,9;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2022";1079,1;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2023";814,0;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2024";1319,0;"m2";"";
2216000;"Powiat sztumski";"1 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2010";740,9;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2011";925,9;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2012";662,8;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2013";954,2;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2014";471,9;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2015";924,9;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2016";1009,6;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2017";1109,9;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2018";987,3;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2019";916,7;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2020";1142,1;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2021";1548,7;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2022";1507,5;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2023";1131,0;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2024";1043,0;"m2";"";
2216000;"Powiat sztumski";"2 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2010";559,9;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2011";931,2;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2012";773,8;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2013";808,3;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2014";642,3;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2015";961,5;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2016";919,7;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2017";1053,4;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2018";1072,5;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2019";1527,7;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2020";1476,4;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2021";1823,2;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2022";1334,4;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2023";1045,0;"m2";"";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2024";0,0;"m2";"x";
2216000;"Powiat sztumski";"3 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2216000;"Powiat sztumski";"4 kwartał";"ogółem";"ogółem";"2010";608,9;"m2";"";
